#Otip_#seqencename	binstart	binend	count
Otip_III	0	9999	1613
Otip_III	10000	19999	368
Otip_III	20000	29999	1
Otip_III	30000	39999	2
Otip_III	40000	49999	3
Otip_III	50000	59999	0
Otip_III	60000	69999	2
Otip_III	70000	79999	2
Otip_III	80000	89999	0
Otip_III	90000	99999	3
Otip_III	100000	109999	3
Otip_III	110000	119999	3
Otip_III	120000	129999	1
Otip_III	130000	139999	3
Otip_III	140000	149999	1
Otip_III	150000	159999	6
Otip_III	160000	169999	3
Otip_III	170000	179999	4
Otip_III	180000	189999	5
Otip_III	190000	199999	4
Otip_III	200000	209999	4
Otip_III	210000	219999	1
Otip_III	220000	229999	1
Otip_III	230000	239999	2
Otip_III	240000	249999	3
Otip_III	250000	259999	0
Otip_III	260000	269999	7
Otip_III	270000	279999	3
Otip_III	280000	289999	5
Otip_III	290000	299999	5
Otip_III	300000	309999	4
Otip_III	310000	319999	3
Otip_III	320000	329999	1
Otip_III	330000	339999	1
Otip_III	340000	349999	1
Otip_III	350000	359999	3
Otip_III	360000	369999	0
Otip_III	370000	379999	1
Otip_III	380000	389999	2
Otip_III	390000	399999	1
Otip_III	400000	409999	6
Otip_III	410000	419999	6
Otip_III	420000	429999	5
Otip_III	430000	439999	5
Otip_III	440000	449999	3
Otip_III	450000	459999	7
Otip_III	460000	469999	0
Otip_III	470000	479999	6
Otip_III	480000	489999	2
Otip_III	490000	499999	2
Otip_III	500000	509999	5
Otip_III	510000	519999	1
Otip_III	520000	529999	2
Otip_III	530000	539999	1
Otip_III	540000	549999	3
Otip_III	550000	559999	2
Otip_III	560000	569999	2
Otip_III	570000	579999	5
Otip_III	580000	589999	1
Otip_III	590000	599999	0
Otip_III	600000	609999	2
Otip_III	610000	619999	1
Otip_III	620000	629999	1
Otip_III	630000	639999	4
Otip_III	640000	649999	1
Otip_III	650000	659999	3
Otip_III	660000	669999	0
Otip_III	670000	679999	2
Otip_III	680000	689999	2
Otip_III	690000	699999	2
Otip_III	700000	709999	4
Otip_III	710000	719999	4
Otip_III	720000	729999	2
Otip_III	730000	739999	3
Otip_III	740000	749999	2
Otip_III	750000	759999	2
Otip_III	760000	769999	6
Otip_III	770000	779999	2
Otip_III	780000	789999	4
Otip_III	790000	799999	0
Otip_III	800000	809999	3
Otip_III	810000	819999	2
Otip_III	820000	829999	3
Otip_III	830000	839999	4
Otip_III	840000	849999	1
Otip_III	850000	859999	2
Otip_III	860000	869999	2
Otip_III	870000	879999	6
Otip_III	880000	889999	2
Otip_III	890000	899999	4
Otip_III	900000	909999	2
Otip_III	910000	919999	1
Otip_III	920000	929999	0
Otip_III	930000	939999	0
Otip_III	940000	949999	1
Otip_III	950000	959999	1
Otip_III	960000	969999	1
Otip_III	970000	979999	2
Otip_III	980000	989999	1
Otip_III	990000	999999	1
Otip_III	1000000	1009999	1
Otip_III	1010000	1019999	1
Otip_III	1020000	1029999	3
Otip_III	1030000	1039999	3
Otip_III	1040000	1049999	3
Otip_III	1050000	1059999	2
Otip_III	1060000	1069999	3
Otip_III	1070000	1079999	0
Otip_III	1080000	1089999	6
Otip_III	1090000	1099999	2
Otip_III	1100000	1109999	2
Otip_III	1110000	1119999	1
Otip_III	1120000	1129999	3
Otip_III	1130000	1139999	1
Otip_III	1140000	1149999	0
Otip_III	1150000	1159999	2
Otip_III	1160000	1169999	4
Otip_III	1170000	1179999	2
Otip_III	1180000	1189999	1
Otip_III	1190000	1199999	0
Otip_III	1200000	1209999	2
Otip_III	1210000	1219999	5
Otip_III	1220000	1229999	0
Otip_III	1230000	1239999	2
Otip_III	1240000	1249999	2
Otip_III	1250000	1259999	5
Otip_III	1260000	1269999	3
Otip_III	1270000	1279999	0
Otip_III	1280000	1289999	3
Otip_III	1290000	1299999	1
Otip_III	1300000	1309999	3
Otip_III	1310000	1319999	5
Otip_III	1320000	1329999	2
Otip_III	1330000	1339999	4
Otip_III	1340000	1349999	8
Otip_III	1350000	1359999	3
Otip_III	1360000	1369999	2
Otip_III	1370000	1379999	1
Otip_III	1380000	1389999	1
Otip_III	1390000	1399999	1
Otip_III	1400000	1409999	4
Otip_III	1410000	1419999	2
Otip_III	1420000	1429999	1
Otip_III	1430000	1439999	1
Otip_III	1440000	1449999	2
Otip_III	1450000	1459999	5
Otip_III	1460000	1469999	3
Otip_III	1470000	1479999	2
Otip_III	1480000	1489999	1
Otip_III	1490000	1499999	2
Otip_III	1500000	1509999	0
Otip_III	1510000	1519999	4
Otip_III	1520000	1529999	3
Otip_III	1530000	1539999	4
Otip_III	1540000	1549999	0
Otip_III	1550000	1559999	0
Otip_III	1560000	1569999	1
Otip_III	1570000	1579999	2
Otip_III	1580000	1589999	1
Otip_III	1590000	1599999	2
Otip_III	1600000	1609999	1
Otip_III	1610000	1619999	2
Otip_III	1620000	1629999	2
Otip_III	1630000	1639999	0
Otip_III	1640000	1649999	7
Otip_III	1650000	1659999	2
Otip_III	1660000	1669999	0
Otip_III	1670000	1679999	1
Otip_III	1680000	1689999	0
Otip_III	1690000	1699999	3
Otip_III	1700000	1709999	2
Otip_III	1710000	1719999	5
Otip_III	1720000	1729999	4
Otip_III	1730000	1739999	1
Otip_III	1740000	1749999	1
Otip_III	1750000	1759999	4
Otip_III	1760000	1769999	1
Otip_III	1770000	1779999	5
Otip_III	1780000	1789999	4
Otip_III	1790000	1799999	2
Otip_III	1800000	1809999	4
Otip_III	1810000	1819999	2
Otip_III	1820000	1829999	2
Otip_III	1830000	1839999	0
Otip_III	1840000	1849999	1
Otip_III	1850000	1859999	3
Otip_III	1860000	1869999	2
Otip_III	1870000	1879999	0
Otip_III	1880000	1889999	1
Otip_III	1890000	1899999	4
Otip_III	1900000	1909999	2
Otip_III	1910000	1919999	1
Otip_III	1920000	1929999	5
Otip_III	1930000	1939999	2
Otip_III	1940000	1949999	2
Otip_III	1950000	1959999	4
Otip_III	1960000	1969999	5
Otip_III	1970000	1979999	3
Otip_III	1980000	1989999	2
Otip_III	1990000	1999999	5
Otip_III	2000000	2009999	1
Otip_III	2010000	2019999	4
Otip_III	2020000	2029999	2
Otip_III	2030000	2039999	3
Otip_III	2040000	2049999	2
Otip_III	2050000	2059999	5
Otip_III	2060000	2069999	2
Otip_III	2070000	2079999	2
Otip_III	2080000	2089999	1
Otip_III	2090000	2099999	1
Otip_III	2100000	2109999	0
Otip_III	2110000	2119999	1
Otip_III	2120000	2129999	0
Otip_III	2130000	2139999	2
Otip_III	2140000	2149999	2
Otip_III	2150000	2159999	2
Otip_III	2160000	2169999	1
Otip_III	2170000	2179999	3
Otip_III	2180000	2189999	1
Otip_III	2190000	2199999	1
Otip_III	2200000	2209999	4
Otip_III	2210000	2219999	2
Otip_III	2220000	2229999	0
Otip_III	2230000	2239999	2
Otip_III	2240000	2249999	0
Otip_III	2250000	2259999	1
Otip_III	2260000	2269999	2
Otip_III	2270000	2279999	2
Otip_III	2280000	2289999	1
Otip_III	2290000	2299999	1
Otip_III	2300000	2309999	1
Otip_III	2310000	2319999	2
Otip_III	2320000	2329999	6
Otip_III	2330000	2339999	2
Otip_III	2340000	2349999	2
Otip_III	2350000	2359999	3
Otip_III	2360000	2369999	0
Otip_III	2370000	2379999	2
Otip_III	2380000	2389999	1
Otip_III	2390000	2399999	1
Otip_III	2400000	2409999	1
Otip_III	2410000	2419999	4
Otip_III	2420000	2429999	0
Otip_III	2430000	2439999	4
Otip_III	2440000	2449999	2
Otip_III	2450000	2459999	1
Otip_III	2460000	2469999	2
Otip_III	2470000	2479999	3
Otip_III	2480000	2489999	4
Otip_III	2490000	2499999	2
Otip_III	2500000	2509999	0
Otip_III	2510000	2519999	0
Otip_III	2520000	2529999	0
Otip_III	2530000	2539999	2
Otip_III	2540000	2549999	2
Otip_III	2550000	2559999	2
