#cluster_id	cluster_type	1to1_type	proteome_count	percentage_at_target_count
OG0000863	specific	fuzzy	15	0.93
OG0001321	specific	fuzzy	15	0.87
OG0001431	specific	fuzzy	15	0.87
OG0001457	specific	fuzzy	15	0.87
OG0001464	specific	fuzzy	15	0.87
OG0001625	specific	fuzzy	15	0.93
OG0001715	specific	fuzzy	15	0.87
OG0001740	specific	fuzzy	15	0.93
OG0001758	specific	fuzzy	15	0.87
OG0001775	specific	fuzzy	14	0.93
OG0001872	specific	fuzzy	15	0.87
OG0001890	specific	fuzzy	14	0.93
OG0001910	specific	fuzzy	15	0.93
OG0001918	specific	fuzzy	15	0.87
OG0001923	specific	fuzzy	15	0.87
OG0001968	specific	fuzzy	15	0.87
OG0001969	specific	fuzzy	15	0.87
OG0001986	specific	fuzzy	15	0.93
OG0002055	specific	fuzzy	14	0.93
OG0002110	specific	fuzzy	15	0.87
OG0002111	specific	fuzzy	15	0.87
OG0002119	specific	fuzzy	15	0.87
OG0002120	specific	fuzzy	15	0.87
OG0002125	specific	fuzzy	15	0.87
OG0002129	specific	fuzzy	15	0.93
OG0002132	specific	fuzzy	15	0.87
OG0002141	specific	fuzzy	15	0.87
OG0002153	specific	fuzzy	15	0.87
OG0002158	specific	fuzzy	15	0.87
OG0002159	specific	fuzzy	15	0.87
OG0002179	specific	fuzzy	15	0.87
OG0002184	specific	fuzzy	15	0.93
OG0002193	specific	fuzzy	15	0.87
OG0002198	specific	fuzzy	15	0.87
OG0002199	specific	fuzzy	15	0.87
OG0002201	specific	fuzzy	15	0.93
OG0002232	specific	fuzzy	15	0.87
OG0002234	specific	fuzzy	15	0.87
OG0002243	specific	fuzzy	14	0.93
OG0002247	specific	fuzzy	15	0.87
OG0002254	specific	fuzzy	15	0.87
OG0002268	specific	fuzzy	14	0.93
OG0002272	specific	fuzzy	15	0.87
OG0002280	specific	fuzzy	15	0.87
OG0002281	specific	fuzzy	15	0.87
OG0002295	specific	fuzzy	15	0.87
OG0002296	specific	fuzzy	15	0.87
OG0002297	specific	fuzzy	15	0.93
OG0002298	specific	fuzzy	15	0.93
OG0002312	specific	fuzzy	15	0.87
OG0002315	specific	fuzzy	15	0.87
OG0002317	specific	fuzzy	14	0.93
OG0002319	specific	fuzzy	15	0.87
OG0002321	specific	fuzzy	15	0.87
OG0002329	specific	fuzzy	15	0.87
OG0002331	specific	fuzzy	15	0.93
OG0002335	specific	fuzzy	15	0.93
OG0002336	specific	fuzzy	15	0.87
OG0002340	specific	fuzzy	15	0.93
OG0002344	specific	fuzzy	15	0.87
OG0002346	specific	fuzzy	15	0.87
OG0002416	specific	fuzzy	15	0.87
OG0002421	specific	fuzzy	15	0.87
OG0002424	specific	fuzzy	15	0.87
OG0002427	specific	fuzzy	15	0.87
OG0002428	specific	fuzzy	15	0.87
OG0002429	specific	fuzzy	15	0.87
OG0002430	specific	fuzzy	15	0.93
OG0002432	specific	fuzzy	15	0.87
OG0002433	specific	fuzzy	15	0.87
OG0002436	specific	fuzzy	15	0.93
OG0002443	specific	fuzzy	15	0.93
OG0002448	specific	fuzzy	15	0.87
OG0002453	specific	fuzzy	15	0.87
OG0002455	specific	fuzzy	15	0.87
OG0002461	specific	fuzzy	15	0.87
OG0002467	specific	fuzzy	15	0.87
OG0002468	specific	fuzzy	15	0.87
OG0002470	specific	fuzzy	15	0.87
OG0002476	specific	fuzzy	15	0.87
OG0002478	specific	fuzzy	15	0.87
OG0002480	specific	fuzzy	15	0.87
OG0002487	specific	fuzzy	15	0.87
OG0002489	specific	fuzzy	15	0.87
OG0002491	specific	fuzzy	15	0.93
OG0002495	specific	fuzzy	15	0.87
OG0002510	specific	fuzzy	14	0.93
OG0002512	specific	fuzzy	15	0.87
OG0002515	specific	fuzzy	15	0.87
OG0002519	specific	fuzzy	15	0.87
OG0002523	specific	fuzzy	14	0.93
OG0002527	specific	fuzzy	15	0.93
OG0002531	specific	fuzzy	15	0.87
OG0002532	specific	fuzzy	15	0.87
OG0002539	specific	fuzzy	15	0.87
OG0002540	specific	fuzzy	15	0.87
OG0002542	specific	fuzzy	15	0.93
OG0002544	specific	fuzzy	15	0.93
OG0002545	specific	fuzzy	15	0.93
OG0002547	specific	fuzzy	15	0.93
OG0002560	specific	fuzzy	15	0.87
OG0002562	specific	fuzzy	15	0.93
OG0002564	specific	fuzzy	15	0.87
OG0002569	specific	fuzzy	15	0.93
OG0002571	specific	fuzzy	15	0.87
OG0002573	specific	fuzzy	15	0.93
OG0002574	specific	fuzzy	15	0.87
OG0002575	specific	fuzzy	15	0.87
OG0002577	specific	fuzzy	15	0.93
OG0002578	specific	fuzzy	15	0.87
OG0002579	specific	fuzzy	15	0.87
OG0002582	specific	fuzzy	15	0.87
OG0002587	specific	fuzzy	15	0.87
OG0002588	specific	fuzzy	15	0.87
OG0002590	specific	fuzzy	15	0.93
OG0002596	specific	fuzzy	15	0.87
OG0002597	specific	fuzzy	15	0.87
OG0002601	specific	fuzzy	15	0.93
OG0002603	specific	fuzzy	15	0.87
OG0002605	specific	fuzzy	15	0.87
OG0002607	specific	fuzzy	15	0.87
OG0002610	specific	fuzzy	15	0.87
OG0002613	specific	fuzzy	15	0.87
OG0002615	specific	fuzzy	15	0.87
OG0002616	specific	fuzzy	15	0.87
OG0002623	specific	fuzzy	15	0.87
OG0002625	specific	fuzzy	15	0.87
OG0002627	specific	fuzzy	15	0.87
OG0002631	specific	fuzzy	15	0.93
OG0002639	specific	fuzzy	15	0.87
OG0002642	specific	fuzzy	15	0.87
OG0002643	specific	fuzzy	15	0.87
OG0002650	specific	fuzzy	15	0.87
OG0002653	specific	fuzzy	15	0.87
OG0002655	specific	fuzzy	15	0.87
OG0002659	specific	fuzzy	15	0.87
OG0002664	specific	fuzzy	15	0.87
OG0002667	specific	fuzzy	15	0.87
OG0002675	specific	fuzzy	15	0.87
OG0002680	specific	fuzzy	15	0.87
OG0002681	specific	fuzzy	15	0.87
OG0002686	specific	fuzzy	15	0.87
OG0002688	specific	fuzzy	15	0.93
OG0002689	specific	fuzzy	15	0.87
OG0002691	specific	fuzzy	15	0.87
OG0002702	specific	fuzzy	14	0.93
OG0002704	specific	fuzzy	15	0.87
OG0002711	specific	fuzzy	15	0.87
OG0002712	specific	fuzzy	15	0.87
OG0002717	specific	fuzzy	15	0.87
OG0002720	specific	fuzzy	15	0.87
OG0002721	specific	fuzzy	15	0.87
OG0002726	specific	fuzzy	15	0.87
OG0002727	specific	fuzzy	15	0.87
OG0002729	specific	fuzzy	15	0.93
OG0002731	specific	fuzzy	15	0.87
OG0002732	specific	fuzzy	15	0.87
OG0002739	specific	fuzzy	15	0.87
OG0002745	specific	fuzzy	15	0.87
OG0002746	specific	fuzzy	15	0.87
OG0002751	specific	fuzzy	15	0.93
OG0002752	specific	fuzzy	15	0.93
OG0002753	specific	fuzzy	15	0.87
OG0002755	specific	fuzzy	15	0.93
OG0002756	specific	fuzzy	15	0.93
OG0002764	specific	fuzzy	15	0.87
OG0002852	specific	fuzzy	15	0.87
OG0002854	specific	fuzzy	15	0.87
OG0002855	specific	fuzzy	15	0.93
OG0002856	specific	fuzzy	15	0.87
OG0002857	specific	fuzzy	15	0.87
OG0002858	specific	fuzzy	15	0.87
OG0002861	specific	fuzzy	15	0.87
